subject,srand,order,condition,trialID,trialType,subcondition,item,question,correct_resp,response,accuracy
999,63,1,noise,87,filler,filler,The sergeant assigned a locker to the soldier.,Did the sergeant receive something/someone?,No,No,1
999,63,2,noise,64,filler,filler,An old woman lives in the woods.,Does a woman live in something/someone?,Yes,Yes,1
999,63,3,noise,76,filler,filler,A ghost appeared above the bed.,Did something/someone appear above the bed?,Yes,Yes,1
999,63,4,noise,90,filler,filler,The student spent all night studying.,Did the student receive something/someone?,No,No,1
999,63,5,noise,88,filler,filler,The bank robber cracked the code for the safe.,Did the safe crack something/someone?,No,No,1
999,63,6,noise,103,test,Deletion-trans,The player benefited the intense practice.,Did the player benefit from something/someone?,No,No,1
999,63,7,noise,58,exposure,noise,A lawyer lied to the politician about for a new bill.,Did the lawyer lie to someone/something?,Yes,Yes,1
999,63,8,noise,55,exposure,noise,The professor searched for into the file.,Did the professor search for someone/something?,Yes,Yes,1
999,63,9,noise,100,test,Deletion-trans,The cheese melted the oven.,Did the oven melt from something/someone?,Yes,Yes,1
999,63,10,noise,81,filler,filler,The nurse poured some water for the old man.,Was something/someone poured for the old man?,Yes,Yes,1
999,63,11,noise,43,exposure,noise,The pirate stole the treasure an officer.,Did the officer steal someone/something?,No,No,1
999,63,12,noise,39,exposure,noise,The dad picked the son because his game loved it.,Did the son pick someone/something?,No,No,1
999,63,13,noise,93,filler,filler,The runner filled a bottle with cold water.,Did the bottle fill something/someone?,No,No,1
999,63,14,noise,49,exposure,noise,An assistant angered the boss after he interrupted meeting.,Did the assistant anger someone/something?,Yes,Yes,1
999,63,15,noise,89,filler,filler,The brother bought concert tickets for his sister.,Was something/someone bought for the sister?,Yes,Yes,1
999,63,16,noise,108,test,Insertions-PO,The scuba instructor rented the tourist to the equipment.,Did the tourist receive something/someone?,Yes,No,0
999,63,17,noise,37,exposure,noise,The nurse helped a child into the building brick.,Did the nurse help someone/something?,Yes,Yes,1
999,63,18,noise,65,filler,filler,The waiter poured a drink for the woman.,Was something/someone poured for the waiter?,No,Yes,0
999,63,19,noise,52,exposure,noise,The teacher liked after the student because she worked hard.,Was the student liked by someone/something?,Yes,Yes,1
999,63,20,noise,74,filler,filler,The aunt made a dress for her niece.,Was something/someone made for the niece?,Yes,Yes,1
999,63,21,noise,79,filler,filler,The dog trainer taught the puppy to roll over.,Was the puppy taught something/someone?,Yes,Yes,1
999,63,22,noise,61,filler,filler,The astronaut accepted the mission.,Did the astronaut accept something/someone?,Yes,Yes,1
999,63,23,noise,47,exposure,noise,The aunt lifted the girl her shoulders.,Did the girl lift someone/something?,No,Yes,0
999,63,24,noise,105,test,Insertion-preposition,The bad lighting hurt from the woman's eyes.,Did the lighting hurt from something/someone?,Yes,Yes,1
999,63,25,noise,95,filler,filler,The father toasted a muffin for the son at breakfast.,Did the son toast something/someone?,No,No,1
999,63,26,noise,32,exposure,noise,The photographer followed the bride camera with the.,Did the bride follow someone/something?,No,No,1
999,63,27,noise,66,filler,filler,The cook baked a cake for Lucy.,Was something/someone baked for Lucy?,Yes,Yes,1
999,63,28,noise,56,exposure,noise,The trucker ordered a bartender to bring him onto a beer.,Did the bartender receive someone/something?,No,No,1
999,63,29,noise,101,test,Deletion-trans,The business profited the tax cut.,Did the tax cut profit from something/someone?,Yes,Yes,1
999,63,30,noise,96,test,Deletion-DO,The shop sold the bike the student.,Did the student receive something/someone?,No,No,1
999,63,31,noise,69,filler,filler,The woman saved a seat for her husband.,Was something/someone saved for the husband?,Yes,Yes,1
999,63,32,noise,72,filler,filler,The father bought a bicycle for his son.,Was something/someone bought for the son?,Yes,Yes,1
999,63,33,noise,107,test,Insertion-preposition,The noise decreased from the man's hearing.,Did the man's hearing decrease from something/someone?,No,No,1
999,63,34,noise,114,test,Swap-active,The bat swung the player.,Did the bat swing something/someone?,Yes,Yes,1
999,63,35,noise,67,filler,filler,The grandmother made a quilt for her granddaughter.,Was something/someone made by the granddaughter?,No,No,1
999,63,36,noise,63,filler,filler,The train arrived at the station.,Did the station arrive at someone/something?,No,No,1
999,63,37,noise,86,filler,filler,A magnificent diamond sparkled on the prince's finger.,Was there a diamond on the prince's finger?,Yes,Yes,1
999,63,38,noise,73,filler,filler,The store had bread in stock.,Did the bread have something/someone?,No,No,1
999,63,39,noise,110,test,Insertions-PO,The boy handed the girl to the pencil.,Did the pencil receive something/someone?,Yes,Yes,1
999,63,40,noise,31,exposure,noise,The fireman rescued the boy in the time of nick.,Did the fireman rescue someone/something?,Yes,Yes,1
999,63,41,noise,116,test,Swap-passive,The uncle was sailed by the boat.,Did the uncle sail something/someone?,No,No,1
999,63,42,noise,57,exposure,noise,The woman wrote a report for the to boss.,Did the boss write something/someone?,No,No,1
999,63,43,noise,41,exposure,noise,The queen greeted crowd.,Did the crowd greet someone/something?,Yes,No,0
