number,item,typeoftrial,itemno,subcondition,question,answer,,
1,The fireman rescued the boy in the nick of time.,exposure,1,noError,Did the fireman rescue someone/something?,Yes,,
2,The photographer followed the bride with the camera.,exposure,2,noError,Did the bride follow someone/something?,No,,
3,The singer put on makeup to prepare for her show.,exposure,3,noError,Did the singer put someone/something on?,Yes,,
4,The pig broke a fence before escaping from the farm.,exposure,4,noError,Did the fence escape from someone/something?,No,,
5,The teacher described a problem for the class.,exposure,5,noError,Did the class describe something/someone?,No,,
6,The pirates came to a village in search of gold.,exposure,6,noError,Did the village search for someone/something?,No,,
7,The nurse helped a child into the brick building.,exposure,7,noError,Did the paramedic help someone/something?,Yes,,
8,The woman said that she worked at the bakery.,exposure,8,noError,Did the woman say someone/something?,Yes,,
9,The dad picked the game because his son loved it.,exposure,9,noError,Did the son pick someone/something?,No,,
10,The trainer filled a bag with ice for the client.,exposure,10,noError,Did the trainer receive someone/something?,No,,
11,The queen greeted the crowd.,exposure,11,noError,Did the queen greet someone/something?,Yes,,
12,The queen rewarded the brave knight.,exposure,12,noError,Did the queen reward someone/something?,Yes,,
13,The pirate stole the treasure from an officer.,exposure,13,noError,Did the officer steal someone/something?,No,,
14,The spy watched a princess for several months.,exposure,14,noError,Did the spy watch someone/something?,Yes,,
15,The toddler hugged a teddybear because he was scared.,exposure,15,noError,Did the teddybear hug someone/something?,No,,
16,The farmer woke up at dawn.,exposure,16,noError,Did someone/something wake up?,Yes,,
17,The aunt lifted the girl onto her shoulders.,exposure,17,noError,Did the girl lift someone/something?,No,,
18,The dealer shuffled the deck before handing out the cards.,exposure,18,noError,Did the deck shuffle someone/something?,No,,
19,An assistant angered the boss after he interrupted the meeting.,exposure,19,noError,Did the assistant anger someone/something?,Yes,,
20,The man stapled the sign to a bulletin board in the hall.,exposure,20,noError,Did the bulletin board staple someone/something?,No,,
21,The murderer killed the journalist in cold blood.,exposure,21,noError,Did the murderer kill someone/something?,Yes,,
22,The teacher liked the student because she worked hard.,exposure,22,noError,Was the student liked by someone/something?,Yes,,
23,The student asked his sister to edit the homework.,exposure,23,noError,Did the sister ask someone/something to edit?,No,,
24,The principal praised a parent for her ability to motivate her child.,exposure,24,noError,Was the parent praised by someone/something?,Yes,,
25,The professor searched for the file.,exposure,25,noError,Did the professor search for someone/something?,Yes,,
26,The trucker ordered a bartender to bring him a beer.,exposure,26,noError,Did the bartender receive someone/something?,No,,
27,The woman wrote a report for the boss.,exposure,27,noError,Did the boss write something/someone?,No,,
28,A lawyer lied to the politician about a new bill.,exposure,28,noError,Did the lawyer lie to someone/something?,Yes,,
29,The company paid the victim because his car had been destroyed.,exposure,29,noError,Did the victim pay someone/something?,No,,
